province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,UK,01-02-20,,,,2,0,0,,,,
,UK,18-02-20,,,,9,0,8,,,,
,UK,17-02-20,,,,9,0,8,,,,
,UK,31-01-20,,,,2,,,,,,
,UK,19-02-20,,,,9,0,8,,,,
,UK,22-02-20,,,,9,0,8,,,,
,UK,25-02-20,,,,13,0,8,,,,
,UK,16-02-20,,,,9,0,8,,,,
,UK,27-02-20,,,,15,0,8,,,,
,UK,03-02-20,,,,2,0,0,,,,
,UK,14-02-20,,,,9,0,1,,,,
,UK,05-02-20,,,,2,0,0,,,,
,UK,24-02-20,,,,13,0,8,,,,
,UK,29-02-20,,,,23,0,8,,,,
,UK,23-02-20,,,,9,0,8,,,,
,UK,06-02-20,,,,2,0,0,,,,
,UK,28-02-20,,,,20,0,8,,,,
,UK,10-02-20,,,,8,0,0,,,,
,UK,13-02-20,,,,9,0,1,,,,
,UK,04-02-20,,,,2,0,0,,,,
,UK,07-02-20,,,,3,0,0,,,,
,UK,15-02-20,,,,9,0,1,,,,
,UK,21-02-20,,,,9,0,8,,,,
,UK,09-02-20,,,,3,0,0,,,,
,UK,26-02-20,,,,13,0,8,,,,
,UK,02-02-20,,,,2,0,0,,,,
,UK,08-02-20,,,,3,0,0,,,,
,UK,11-02-20,,,,8,0,0,,,,
,UK,20-02-20,,,,9,0,8,,,,
,UK,12-02-20,,,,9,0,1,,,,
,UK,01-03-20,55,-3,POINT(-3 55),36,0,8,,,,
,UK,03-03-20,55,-3,POINT(-3 55),51,0,8,,,,
,UK,05-03-20,55,-3,POINT(-3 55),115,1,8,,,,
,UK,06-03-20,55,-3,POINT(-3 55),163,2,8,,,,
,UK,10-03-20,55,-3,POINT(-3 55),382,6,18,,,,
,UK,07-03-20,55,-3,POINT(-3 55),206,2,18,,,,
,UK,04-03-20,55,-3,POINT(-3 55),85,0,8,,,,
,UK,09-03-20,55,-3,POINT(-3 55),321,4,18,,,,
,UK,08-03-20,55,-3,POINT(-3 55),273,3,18,,,,
,UK,02-03-20,55,-3,POINT(-3 55),40,0,8,,,,
US,US,18-03-20,37.0902,-95.7129,POINT(-95.7129 37.0902),1,0,106,,,,
US,US,19-03-20,37.0902,-95.7129,POINT(-95.7129 37.0902),1,0,108,,,,
US,US,21-03-20,37.0902,-95.7129,POINT(-95.7129 37.0902),1,0,171,,,,
US,US,20-03-20,37.0902,-95.7129,POINT(-95.7129 37.0902),1,0,147,,,,
Guam,US,18-03-20,13.4443,144.7937,POINT(144.7937 13.4443),5,0,0,,,,
Guam,US,16-03-20,13.4443,144.7937,POINT(144.7937 13.4443),3,0,0,,,,
Guam,US,19-03-20,13.4443,144.7937,POINT(144.7937 13.4443),12,0,0,,,,
Guam,US,21-03-20,13.4443,144.7937,POINT(144.7937 13.4443),15,0,0,,,,
Guam,US,15-03-20,13.4443,144.7937,POINT(144.7937 13.4443),3,0,0,,,,
